,player_name,salary
0,Stephen Curry,34682550.0
1,LeBron James,33285709.0
2,Paul Millsap,31269231.0
3,Gordon Hayward,29727900.0
4,Blake Griffin,29512900.0
5,Kyle Lowry,28703704.0
6,Russell Westbrook,28530608.0
7,Mike Conley,28530608.0
8,James Harden,28299399.0
9,DeMar DeRozan,27739975.0
10,Al Horford,27734405.0
11,Carmelo Anthony,26243760.0
12,Damian Lillard,26153057.0
13,Jrue Holiday,25686667.0
14,Chris Bosh,25289390.0
15,Kevin Durant,25000000.0
16,Otto Porter,24773250.0
17,Chris Paul,24599495.0
18,C.J. McCollum,23962573.0
19,Bradley Beal,23775506.0
20,Anthony Davis,23775506.0
21,Andre Drummond,23775506.0
22,Hassan Whiteside,23775506.0
23,Dwight Howard,23500000.0
24,Chandler Parsons,23112004.0
25,Harrison Barnes,23112004.0
26,J.J. Redick,23000000.0
27,Marc Gasol,22642350.0
28,Kevin Love,22642350.0
29,Brook Lopez,22642350.0
30,DeAndre Jordan,22642350.0
31,Steven Adams,22471910.0
32,Giannis Antetokounmpo,22471910.0
33,Nicolas Batum,22434783.0
34,Rudy Gobert,21974719.0
35,LaMarcus Aldridge,21461010.0
36,Victor Oladipo,21000000.0
37,Enes Kanter,20566802.0
38,Danilo Gallinari,20559599.0
39,Serge Ibaka,20061729.0
40,George Hill,20000000.0
41,Ryan Anderson,19578455.0
42,Paul George,19508958.0
43,Allen Crabbe,19332500.0
44,Jimmy Butler,19301070.0
45,Jeff Teague,19000000.0
46,Kawhi Leonard,18868625.0
47,Kyrie Irving,18868625.0
48,John Wall,18063850.0
49,DeMarcus Cousins,18063850.0
50,Greg Monroe,17884176.0
51,Wesley Matthews,17884176.0
52,Klay Thompson,17826150.0
53,Joakim Noah,17765000.0
54,Kentavious Caldwell-Pope,17745894.0
55,Luol Deng,17190000.0
56,Evan Turner,17131148.0
57,Goran Dragic,17000450.0
58,Evan Fournier,17000000.0
59,Bismack Biyombo,17000000.0
60,Kent Bazemore,16910113.0
61,Robert Covington,16698103.0
62,Ian Mahinmi,16661641.0
63,Tim Hardaway,16500000.0
64,Draymond Green,16400000.0
65,Tristan Thompson,16400000.0
66,Reggie Jackson,16000000.0
67,Pau Gasol,16000000.0
68,Tobias Harris,16000000.0
69,Dwyane Wade,15550000.0
70,Dennis Schroder,15500000.0
71,Jonas Valanciunas,15460675.0
72,Tony Parker,15453126.0
73,Timofey Mozgov,15280000.0
74,Andre Iguodala,14814815.0
75,DeMarre Carroll,14800000.0
76,Thaddeus Young,14796348.0
77,Eric Bledsoe,14500000.0
78,Ricky Rubio,14275000.0
79,Joe Ingles,14136364.0
80,Gorgui Dieng,14112360.0
81,Khris Middleton,14100000.0
82,Mason Plumlee,14041096.0
83,Taj Gibson,14000000.0
84,James Johnson,13954000.0
85,Robin Lopez,13788500.0
86,J.R. Smith,13760000.0
87,Brandon Knight,13618750.0
88,Marvin Williams,13168750.0
89,Tyson Chandler,13000000.0
90,Michael Kidd-Gilchrist,13000000.0
91,Eric Gordon,12943020.0
92,Kenneth Faried,12921348.0
93,Marcin Gortat,12782609.0
94,Cody Zeller,12584270.0
95,Miles Plumlee,12500000.0
96,Nikola Mirotic,12500000.0
97,Zach Randolph,12307692.0
98,Nikola Vucevic,12250000.0
99,Solomon Hill,12236535.0
100,Wilson Chandler,12016854.0
101,Jeremy Lin,12000000.0
102,Kemba Walker,12000000.0
103,Derrick Favors,12000000.0
104,Austin Rivers,11825000.0
105,Courtney Lee,11747890.0
106,Nikola Pekovic,11600000.0
107,Jordan Clarkson,11562500.0
108,John Henson,11422536.0
109,Dion Waiters,11000000.0
110,Amir Johnson,11000000.0
111,Jamal Crawford,10942762.0
112,Alec Burks,10845506.0
113,Patty Mills,10714286.0
114,Kelly Olynyk,10607169.0
115,Omer Asik,10595505.0
116,Terrence Ross,10500000.0
117,Mirza Teletovic,10500000.0
118,Bojan Bogdanovic,10500000.0
119,Jon Leuer,10497319.0
120,Iman Shumpert,10337079.0
121,Maurice Harkless,10162922.0
122,Jared Dudley,10000000.0
123,Darren Collison,10000000.0
124,Danny Green,10000000.0
125,Meyers Leonard,9904495.0
126,Tony Snell,9821429.0
127,Al Jefferson,9769821.0
128,Matthew Dellavedova,9607500.0
129,Joe Johnson,9505000.0
130,Bogdan Bogdanovic,9470614.0
131,Andre Roberson,9259259.0
132,Trevor Booker,9125000.0
133,Dwight Powell,9003125.0
134,Jerryd Bayless,9000000.0
135,Avery Bradley,8808989.0
136,JaMychal Green,8533333.0
137,E'Twaun Moore,8445024.0
138,Rudy Gay,8406000.0
139,Kosta Koufos,8393000.0
140,Markieff Morris,8000000.0
141,Garrett Temple,8000000.0
142,Vince Carter,8000000.0
143,C.J. Miles,7936509.0
144,Cristiano Felicio,7843500.0
145,Shaun Livingston,7692308.0
146,Cory Joseph,7630000.0
147,P.J. Tucker,7590035.0
148,Corey Brewer,7579366.0
149,Andrew Wiggins,7574322.0
150,Darrell Arthur,7464912.0
151,Channing Frye,7420912.0
152,Trevor Ariza,7420912.0
153,Al-Farouq Aminu,7319035.0
154,Cole Aldrich,7300000.0
