index,player_name,salary,age,games_played,minutes_played,field_goal_percent,three_point_percent,two_point_percent,effective_field_goal,free_throw_percent,total_rebounds,assist,steal,blocking,points
0,Stephen Curry,34682550,29,51.00,1631.00,0.50,0.42,0.60,0.62,0.92,261.00,310.00,80.00,8.00,1346.00
1,LeBron James,33285709,33,82.00,3026.00,0.54,0.37,0.60,0.59,0.73,709.00,747.00,116.00,71.00,2251.00
2,Paul Millsap,31269231,32,38.00,1143.00,0.46,0.35,0.51,0.51,0.70,245.00,105.00,39.00,44.00,555.00
3,Blake Griffin,29512900,28,38.67,1313.33,0.44,0.35,0.48,0.49,0.78,285.33,222.67,27.33,12.00,828.00
4,Kyle Lowry,28703704,31,78.00,2510.00,0.43,0.40,0.47,0.55,0.85,434.00,537.00,85.00,19.00,1267.00
5,Russell Westbrook,28530608,29,80.00,2914.00,0.45,0.30,0.49,0.48,0.74,804.00,820.00,147.00,20.00,2028.00
6,Mike Conley,28530608,30,12.00,373.00,0.38,0.31,0.44,0.45,0.80,27.00,49.00,12.00,3.00,205.00
7,James Harden,28299399,28,72.00,2551.00,0.45,0.37,0.53,0.54,0.86,389.00,630.00,126.00,50.00,2191.00
8,DeMar DeRozan,27739975,28,80.00,2711.00,0.46,0.31,0.49,0.49,0.83,315.00,417.00,85.00,22.00,1840.00
9,Al Horford,27734405,31,72.00,2277.00,0.49,0.43,0.51,0.55,0.78,530.00,339.00,43.00,78.00,927.00
10,Carmelo Anthony,26243760,33,78.00,2501.00,0.40,0.36,0.44,0.48,0.77,453.00,103.00,47.00,49.00,1261.00
11,Damian Lillard,26153057,27,73.00,2670.00,0.44,0.36,0.50,0.52,0.92,325.00,481.00,77.00,27.00,1962.00
12,Jrue Holiday,25686667,27,81.00,2927.00,0.49,0.34,0.56,0.54,0.79,365.00,486.00,123.00,64.00,1537.00
13,Kevin Durant,25000000,29,68.00,2325.00,0.52,0.42,0.57,0.59,0.89,464.00,366.00,50.00,119.00,1792.00
14,Otto Porter,24773250,24,77.00,2432.00,0.50,0.44,0.54,0.58,0.83,492.00,157.00,116.00,41.00,1134.00
15,Chris Paul,24599495,32,58.00,1847.00,0.46,0.38,0.53,0.55,0.92,313.00,457.00,96.00,14.00,1081.00
16,Bradley Beal,23775506,24,82.00,2977.00,0.46,0.38,0.51,0.53,0.79,363.00,373.00,96.00,36.00,1857.00
17,Anthony Davis,23775506,24,75.00,2727.00,0.53,0.34,0.56,0.55,0.83,832.00,174.00,115.00,193.00,2110.00
18,Andre Drummond,23775506,24,78.00,2625.00,0.53,0.00,0.54,0.53,0.61,1247.00,237.00,114.00,127.00,1171.00
19,Hassan Whiteside,23775506,28,54.00,1364.00,0.54,1.00,0.54,0.54,0.70,618.00,54.00,37.00,94.00,754.00
20,Dwight Howard,23500000,32,81.00,2463.00,0.56,0.14,0.56,0.56,0.57,1012.00,105.00,48.00,131.00,1347.00
21,Chandler Parsons,23112004,29,36.00,691.00,0.46,0.42,0.50,0.57,0.63,90.00,69.00,18.00,11.00,284.00
22,Harrison Barnes,23112004,25,77.00,2634.00,0.45,0.36,0.48,0.49,0.83,468.00,152.00,49.00,14.00,1452.00
